Gene,Method,Simulation,Sequences,Codons,LRT p-value,cAIC,w1,p1,w2,p2,w3,p3,CV(omega),SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,CV(alpha)_calculated,CV(alpha)_simulated,DH_Rate,TH_Rate,TH_Rate_SI,BUSTEDS-MH_num_ER_Sites,BUSTEDS-MH_ER_Sites,BUSTEDS_num_ER_Sites,BUSTEDS_ER_Sites
2564.replicate.2,BUSTEDS-MH,null-2.0,56.0,5000.0,0.5,338831.6351589361,0.0006,0.0,1.0,1.0,1.4742,0.0,0.7445437198965733,0.9933,0.0136,0.9939,0.9768,1.6298,1.6298,0.24874840156875455,2.0,0.0,0.0,0.0,,,,
2564.replicate.5,BUSTEDS,null-2.0,56.0,5000.0,0.1143834534580634,337698.2932282806,0.9813,0.1864,1.0,0.8006,2.897,0.0131,0.5526686148062122,0.9726,0.0,1.0,1.0,1.0186,1.0186,0.01894920465610771,2.0,,,,,,0.0,
2564.replicate.5,BUSTEDS-MH,null-2.0,56.0,5000.0,0.5,337703.744772451,0.967,0.0,1.0,1.0,13.7349,0.0,1.1484755418543449,0.9991,0.0011,0.9994,0.9984,2.1635,2.1635,0.3956026383923532,2.0,0.007610490486987739,0.0,0.0,,,,
2564.replicate.6,BUSTEDS,null-2.0,56.0,5000.0,0.4460403235471943,338254.9261575151,0.8378,0.1739,0.9068,0.5574,1.2599,0.2687,0.18459814166511823,0.9772,0.9998,3.1888,0.0002,1278.3433,1278.3433,1.4073244208276727,2.0,,,,,,0.0,
2564.replicate.6,BUSTEDS-MH,null-2.0,56.0,5000.0,0.4529809089799212,338258.8482848951,0.5163,0.0701,1.0,0.763,1.1366,0.1669,0.3009429983638538,0.9992,0.016,0.9995,0.9838,3.2657,3.2657,0.6088258734413095,2.0,0.0,0.0,0.1601552216402525,0.0,,,
2564.replicate.7,BUSTEDS,null-2.0,56.0,5000.0,0.5,337205.7957694906,0.9709,0.6193,1.0,0.0519,1.0435,0.3288,0.029690020479406738,0.9729,0.0,0.9985,0.0,1.0,1.0,0.012556298121937903,2.0,,,,,,0.0,
2564.replicate.7,BUSTEDS-MH,null-2.0,56.0,5000.0,0.5,337211.6446785667,0.474,0.0,0.9974,1.0,6.0283,0.0,1.0016756260317425,0.9998,0.0,1.0,1.0,1.0251,1.0251,0.011781884874094144,2.0,0.0,0.0,0.0,,,,
2564.replicate.9,BUSTEDS,null-2.0,56.0,5000.0,0.5,337740.2275525781,0.9884,0.0,0.991,1.0,2.2072,0.0,0.41126641111427437,0.6595,0.0,0.9921,0.9792,1.3739,1.3739,0.2894229409370932,2.0,,,,,,,
2564.replicate.9,BUSTEDS-MH,null-2.0,56.0,5000.0,0.5,337746.2710883116,0.1883,0.0045,0.9967,0.9955,2.5336,0.0,0.784762912013286,0.9921,0.0966,0.9928,0.8854,1.3955,1.3955,0.16861892706553588,2.0,0.0,0.0,0.0,,,,
2580.replicate.1,BUSTEDS,null-2.0,21.0,5000.0,0.2523266395879969,374684.2802219738,0.998,0.9916,1.0,0.0082,52.0915,0.0003,1.3358545831828095,0.0473,0.0327,0.5213,0.3546,1.328,1.328,0.8362727165981607,2.0,,,,,,0.0,
2580.replicate.1,BUSTEDS,null-2.3,21.0,5000.0,0.3825967143176511,374248.8648190337,0.7809,0.2152,0.979,0.6547,1.4491,0.1301,0.2619730981422797,0.3862,0.3385,1.1644,0.6614,982.0758,982.0758,1.4108698212541984,2.3,,,,,,0.0,
2580.replicate.1,BUSTEDS-MH,null-2.0,21.0,5000.0,0.5,374690.590340371,0.2827,0.0,0.9994,1.0,13.8102,0.0,1.2353759487917297,0.0477,0.0329,0.5217,0.3544,1.3277,1.3277,0.8355667177880499,2.0,0.004123062917756629,0.0,0.0,,,,
2580.replicate.1,BUSTEDS-MH,null-2.3,21.0,5000.0,0.4981167943738181,374037.731249542,0.0,0.0077,0.9972,0.9816,1.4009,0.0108,0.7365516569390141,0.0605,0.03,0.5091,0.3526,1.326,1.326,0.82909989419446,2.3,0.0001583909574092672,0.002007395708105709,0.0,0.0,,,
2580.replicate.10,BUSTEDS,null-2.0,21.0,5000.0,0.3594016507757825,372288.0139804607,0.9287,0.0069,0.9955,0.9896,4.6086,0.0035,0.7894897565976355,0.072,0.0379,0.5429,0.3718,1.3474,1.3474,0.8050505441884852,2.0,,,,,,0.0,
2580.replicate.10,BUSTEDS,null-2.3,21.0,5000.0,0.3227414146658758,374235.4841678567,0.9227,0.3447,0.9833,0.4414,1.2247,0.2139,0.1250021552478372,0.4249,0.3277,1.2791,0.6721,5.2094,5.2094,0.9041091880758462,2.3,,,,,,0.0,
